panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach
Irlandia,2018,4610.0,1631.0,0.21,0.07,1248.0,709.0,0.97,0.55,6241.0,0.28,1957.0,1.52
Irlandia,2019,8590.0,2947.0,0.38,0.13,3455.0,1359.0,2.74,1.08,11537.0,0.51,4814.0,3.8200000000000003
Irlandia,2020,12720.0,5659.0,0.55,0.25,4010.0,2494.0,4.46,2.78,18379.0,0.8,6504.0,7.24
Irlandia,2021,21440.0,17570.0,0.93,0.76,8703.0,7907.0,8.32,7.56,39010.0,1.69,16610.0,15.879999999999999
Irlandia,2022,36970.0,25318.0,1.57,1.07,15706.0,7783.0,14.91,7.39,62288.0,2.64,23489.0,22.3
Irlandia,2023,59400.0,35785.0,2.5,1.5,22869.0,10348.0,18.77,8.49,95185.0,4.0,33217.0,27.259999999999998
Irlandia,2024,72640.0,41933.0,2.87,1.65,17459.0,12538.0,14.39,10.34,114573.0,4.52,29997.0,24.73
Irlandia,2025,95123.0,60653.0,3.76,2.4,23605.0,18917.0,18.89,15.14,155776.0,6.16,42522.0,34.03
Islandia,2008,12.0,,,,0.0,0.0,,,,,0.0,
Islandia,2009,12.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Islandia,2010,14.0,,,,2.0,0.0,0.06,0.0,,,2.0,0.06
Islandia,2011,14.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Islandia,2012,31.0,9.0,0.01,0.0,17.0,12.0,0.21,0.15,40.0,0.01,29.0,0.36
Islandia,2013,111.0,32.0,0.05,0.02,53.0,19.0,0.73,0.26,143.0,0.07,72.0,0.99
Islandia,2014,305.0,61.0,0.14,0.03,134.0,37.0,1.41,0.39,366.0,0.17,171.0,1.7999999999999998
Islandia,2015,691.0,227.0,0.33,0.11,256.0,146.0,1.82,1.04,918.0,0.44,402.0,2.8600000000000003
Islandia,2016,1066.0,1007.0,0.5,0.48,226.0,618.0,1.23,3.35,2073.0,0.98,844.0,4.58
Islandia,2017,1910.0,3188.0,0.74,1.24,842.0,2116.0,3.25,8.17,5098.0,1.98,2958.0,11.42
Islandia,2018,2684.0,6051.0,1.0,2.26,768.0,2669.0,3.62,12.57,8735.0,3.26,3437.0,16.19
Islandia,2019,3749.0,8003.0,1.39,2.97,1139.0,1734.0,8.35,12.72,11752.0,4.36,2873.0,21.07
Islandia,2020,5499.0,9698.0,2.04,3.6,2530.0,2268.0,27.0,24.21,15197.0,5.640000000000001,4798.0,51.21
Islandia,2021,10852.0,15655.0,3.75,5.42,4266.0,4881.0,33.45,38.27,26507.0,9.17,9147.0,71.72
Islandia,2022,17716.0,20692.0,6.25,7.29,6851.0,5037.0,41.2,30.29,38408.0,13.54,11888.0,71.49000000000001
Islandia,2023,25665.0,21750.0,8.44,7.15,10063.0,2179.0,57.36,12.42,47415.0,15.59,12242.0,69.78
Islandia,2024,30218.0,24384.0,9.69,7.82,2661.0,1684.0,25.99,16.45,54602.0,17.509999999999998,4345.0,42.44
Islandia,2025,36122.0,27632.0,11.49,8.79,5999.0,2951.0,41.22,20.28,63754.0,20.28,8950.0,61.5
Liechtenstein,2008,,,,,,,,,,,,
Liechtenstein,2009,,,,,,,,,,,,
Liechtenstein,2010,,,,,,,,,,,,
Liechtenstein,2011,,,,,,,,,,,,
Liechtenstein,2012,,,,,,,,,,,,
Liechtenstein,2013,,,,,14.0,,0.73,,,,,
Liechtenstein,2014,40.0,,0.14,,18.0,,1.0,,,,,
Liechtenstein,2015,62.0,,0.22,,30.0,,1.46,,,,,
Liechtenstein,2016,117.0,,0.4,,46.0,1.0,2.32,0.05,,,47.0,2.3699999999999997
Liechtenstein,2017,164.0,,0.55,,57.0,,2.82,,,,,
Liechtenstein,2018,237.0,1.0,0.79,0.0,48.0,1.0,2.6,0.05,238.0,0.79,49.0,2.65
Liechtenstein,2019,308.0,1.0,1.02,0.0,97.0,6.0,4.97,0.31,309.0,1.02,103.0,5.279999999999999
Liechtenstein,2020,403.0,9.0,1.32,0.03,164.0,3.0,9.72,0.18,412.0,1.35,167.0,9.9
Liechtenstein,2021,630.0,44.0,2.06,0.14,292.0,35.0,17.26,2.07,674.0,2.2,327.0,19.330000000000002
Liechtenstein,2022,950.0,64.0,3.08,0.21,317.0,111.0,18.74,6.56,1014.0,3.29,428.0,25.299999999999997
Liechtenstein,2023,1307.0,79.0,4.22,0.26,338.0,65.0,19.98,3.84,1386.0,4.4799999999999995,403.0,23.82
Liechtenstein,2024,1533.0,143.0,4.93,0.46,362.0,87.0,23.15,5.56,1676.0,5.39,449.0,28.709999999999997
Liechtenstein,2025,2011.0,210.0,6.48,0.68,364.0,57.0,26.32,4.12,2221.0,7.16,421.0,30.44
Litwa,2008,,,,,0.0,0.0,,,,,0.0,
Litwa,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Litwa,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Litwa,2011,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Litwa,2012,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Litwa,2013,2.0,4.0,0.0,0.0,,,,,6.0,0.0,,
Litwa,2014,70.0,14.0,0.01,0.0,,,,,84.0,0.01,,
Litwa,2015,169.0,28.0,0.01,0.0,15.0,,0.01,,197.0,0.01,,
Litwa,2016,358.0,44.0,0.03,0.0,60.0,11.0,0.04,0.01,402.0,0.03,71.0,0.05
Litwa,2017,619.0,241.0,0.05,0.02,49.0,19.0,0.03,0.01,860.0,0.07,68.0,0.04
Litwa,2018,965.0,671.0,0.07,0.05,152.0,42.0,0.09,0.02,1636.0,0.12000000000000001,194.0,0.11
Litwa,2019,1395.0,1172.0,0.09,0.08,169.0,52.0,0.1,0.03,2567.0,0.16999999999999998,221.0,0.13
Litwa,2020,2475.0,1951.0,0.16,0.12,453.0,62.0,1.13,0.15,4426.0,0.28,515.0,1.2799999999999998
Litwa,2021,4831.0,3206.0,0.3,0.2,1134.0,70.0,3.61,0.22,8037.0,0.5,1204.0,3.83
Litwa,2022,7305.0,4942.0,0.44,0.3,1318.0,740.0,5.16,2.9,12247.0,0.74,2058.0,8.06
Litwa,2023,11424.0,7530.0,0.66,0.44,2034.0,787.0,7.4,2.86,18954.0,1.1,2821.0,10.26
Litwa,2024,15983.0,12291.0,0.92,0.71,2003.0,1685.0,6.65,5.6,28274.0,1.63,3688.0,12.25
Litwa,2025,19876.0,17272.0,1.13,0.98,3138.0,4395.0,7.48,10.47,37148.0,2.11,7533.0,17.950000000000003
Luksemburg,2008,,,,,0.0,0.0,,,,,0.0,
Luksemburg,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Luksemburg,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Luksemburg,2011,31.0,,0.01,,31.0,0.0,0.06,0.0,,,31.0,0.06
Luksemburg,2012,100.0,30.0,0.03,0.01,61.0,30.0,0.12,0.06,130.0,0.04,91.0,0.18
Luksemburg,2013,263.0,60.0,0.07,0.02,,,,,323.0,0.09000000000000001,,
Luksemburg,2014,524.0,166.0,0.14,0.04,25.0,,0.05,,690.0,0.18000000000000002,,
Luksemburg,2015,580.0,279.0,0.15,0.07,45.0,35.0,0.1,0.08,859.0,0.22,80.0,0.18
Luksemburg,2016,685.0,449.0,0.18,0.11,162.0,142.0,0.32,0.28,1134.0,0.29,304.0,0.6000000000000001
Luksemburg,2017,970.0,1023.0,0.24,0.25,371.0,616.0,0.7,1.17,1993.0,0.49,987.0,1.8699999999999999
Luksemburg,2018,1336.0,1682.0,0.32,0.41,492.0,535.0,0.93,1.01,3018.0,0.73,1027.0,1.94
Luksemburg,2019,2195.0,2369.0,0.51,0.56,1012.0,919.0,1.87,1.7,4564.0,1.07,1931.0,3.5700000000000003
Luksemburg,2020,4444.0,4526.0,1.03,1.05,2525.0,2833.0,5.59,6.27,8970.0,2.08,5358.0,11.86
Luksemburg,2021,8528.0,7833.0,1.94,1.78,4686.0,4728.0,10.56,10.66,16361.0,3.7199999999999998,9414.0,21.22
Luksemburg,2022,13909.0,10671.0,3.1,2.38,6658.0,3951.0,15.82,9.39,24580.0,5.48,10609.0,25.21
Luksemburg,2023,23267.0,14141.0,5.1,3.1,11380.0,5053.0,23.15,10.28,37408.0,8.2,16433.0,33.43
Luksemburg,2024,32061.0,17147.0,6.95,3.72,12778.0,3962.0,27.37,8.49,49208.0,10.67,16740.0,35.86
Luksemburg,2025,39182.0,18318.0,8.49,3.97,12691.0,3750.0,26.91,7.95,57500.0,12.46,16441.0,34.86
Malta,2008,,,,,0.0,0.0,,,,,0.0,
Malta,2009,,,,,0.0,0.0,,,,,0.0,
Malta,2010,,,,,0.0,0.0,,,,,0.0,
Malta,2011,,,,,0.0,0.0,,,,,0.0,
Malta,2012,38.0,,0.02,,1.0,0.0,,,,,1.0,
Malta,2013,59.0,,0.02,,,,,,,,,
Malta,2014,87.0,4.0,0.03,0.0,,,,,91.0,0.03,,
Malta,2015,136.0,7.0,0.05,0.0,,,,,143.0,0.05,,
Malta,2016,140.0,7.0,0.05,0.0,,,,,147.0,0.05,,
Malta,2017,189.0,12.0,0.06,0.0,48.0,3.0,0.62,0.04,201.0,0.06,51.0,0.66
Malta,2018,603.0,14.0,0.2,0.0,180.0,1.0,2.2,0.01,617.0,0.2,181.0,2.21
Malta,2019,983.0,195.0,0.32,0.06,282.0,70.0,3.66,0.91,1178.0,0.38,352.0,4.57
Malta,2020,1293.0,637.0,0.42,0.21,137.0,33.0,1.23,0.3,1930.0,0.63,170.0,1.53
Malta,2021,1783.0,714.0,0.57,0.23,155.0,95.0,1.5,0.92,2497.0,0.7999999999999999,250.0,2.42
Malta,2022,2803.0,2716.0,0.88,0.85,186.0,101.0,1.94,1.05,5519.0,1.73,287.0,2.99
Malta,2023,4364.0,3706.0,1.35,1.15,982.0,911.0,14.95,13.87,8070.0,2.5,1893.0,28.82
Malta,2024,7297.0,4675.0,2.2,1.41,3456.0,548.0,44.14,7.0,11972.0,3.6100000000000003,4004.0,51.14
Malta,2025,9805.0,5074.0,2.92,1.51,2448.0,420.0,37.85,6.49,14879.0,4.43,2868.0,44.34
Niemcy,2008,1300.0,,,,0.0,0.0,,,,,0.0,
Niemcy,2009,1588.0,,0.0,,15.0,0.0,0.0,0.0,,,15.0,0.0
Niemcy,2010,2307.0,,0.01,,144.0,0.0,0.0,0.0,,,144.0,0.0
Niemcy,2011,4541.0,112.0,0.01,0.0,1828.0,266.0,0.06,0.01,4653.0,0.01,2094.0,0.06999999999999999
Niemcy,2012,7114.0,1332.0,0.02,0.0,2555.0,1232.0,0.08,0.04,8446.0,0.02,3787.0,0.12
Niemcy,2013,12156.0,2932.0,0.03,0.01,5434.0,445.0,0.18,0.02,15088.0,0.04,5879.0,0.19999999999999998
Niemcy,2014,18948.0,6956.0,0.04,0.02,9141.0,3321.0,0.3,0.11,25904.0,0.06,12462.0,0.41
Niemcy,2015,25502.0,17439.0,0.06,0.04,13369.0,10001.0,0.42,0.31,42941.0,0.1,23370.0,0.73
Niemcy,2016,34022.0,32049.0,0.07,0.07,12415.0,12091.0,0.38,0.37,66071.0,0.14,24506.0,0.75
Niemcy,2017,53861.0,44419.0,0.12,0.1,25764.0,27596.0,0.75,0.8,98280.0,0.22,53360.0,1.55
Niemcy,2018,83175.0,66997.0,0.18,0.14,36533.0,29718.0,1.06,0.86,150172.0,0.32,66251.0,1.92
Niemcy,2019,136617.0,102045.0,0.29,0.21,61415.0,44260.0,1.7,1.23,238662.0,0.5,105675.0,2.9299999999999997
Niemcy,2020,309083.0,279651.0,0.64,0.58,191330.0,199606.0,6.56,6.84,588734.0,1.22,390936.0,13.399999999999999
Niemcy,2021,618460.0,565742.0,1.27,1.17,351332.0,322424.0,13.4,12.3,1184202.0,2.44,673756.0,25.700000000000003
Niemcy,2022,1013009.0,864547.0,2.07,1.77,464322.0,359566.0,17.51,13.56,1877556.0,3.84,823888.0,31.07
Niemcy,2023,1408681.0,921777.0,2.87,1.88,520074.0,173833.0,18.28,6.11,2330458.0,4.75,693907.0,24.39
Niemcy,2024,1651643.0,967423.0,3.35,1.96,379472.0,190844.0,13.47,6.77,2619066.0,5.3100000000000005,570316.0,20.240000000000002
Niemcy,2025,2034260.0,1122958.0,4.11,2.27,545176.0,311317.0,19.08,10.89,3157218.0,6.380000000000001,856493.0,29.97
Norwegia,2008,1243.0,,,,243.0,0.0,,,,,243.0,
Norwegia,2009,1388.0,,0.06,,145.0,0.0,0.11,0.0,,,145.0,0.11
Norwegia,2010,1782.0,,0.08,,380.0,0.0,0.3,0.0,,,380.0,0.3
Norwegia,2011,3982.0,1.0,0.17,0.0,2009.0,1.0,1.45,0.0,3983.0,0.17,2010.0,1.45
Norwegia,2012,6543.0,341.0,0.27,0.01,4256.0,340.0,3.08,0.25,6884.0,0.28,4596.0,3.33
Norwegia,2013,17868.0,453.0,0.71,0.02,7875.0,489.0,5.25,0.33,18321.0,0.73,8364.0,5.58
Norwegia,2014,42356.0,2150.0,1.66,0.08,17999.0,1698.0,12.0,1.13,44506.0,1.74,19697.0,13.129999999999999
Norwegia,2015,73312.0,10164.0,2.81,0.39,25551.0,7857.0,16.11,4.95,83476.0,3.2,33408.0,21.06
Norwegia,2016,98532.0,34431.0,3.7,1.29,23878.0,20652.0,14.89,12.87,132963.0,4.99,44530.0,27.759999999999998
Norwegia,2017,138983.0,67315.0,5.11,2.48,32836.0,29144.0,19.58,17.38,206298.0,7.59,61980.0,36.959999999999994
Norwegia,2018,195348.0,96133.0,7.1,3.49,46111.0,26539.0,29.03,16.71,291481.0,10.59,72650.0,45.74
Norwegia,2019,260689.0,116042.0,9.31,4.14,60305.0,19115.0,40.56,12.86,376731.0,13.45,79420.0,53.42
Norwegia,2020,340002.0,146153.0,11.58,4.98,76734.0,28825.0,54.27,20.38,486155.0,16.560000000000002,105559.0,74.65
Norwegia,2021,460734.0,184503.0,15.34,6.14,113613.0,38163.0,64.45,21.65,645237.0,21.48,151776.0,86.1
Norwegia,2022,599169.0,198841.0,19.58,6.5,138287.0,16129.0,79.33,9.25,798010.0,26.08,154416.0,88.58
Norwegia,2023,689169.0,207021.0,23.95,7.19,103946.0,10136.0,81.88,7.98,896190.0,31.14,114082.0,89.86
Norwegia,2024,788750.0,208168.0,27.38,7.23,113434.0,3496.0,88.15,2.72,996918.0,34.61,116930.0,90.87
Norwegia,2025,945182.0,208312.0,32.86,7.24,172124.0,2751.0,95.82,1.53,1153494.0,40.1,174875.0,97.35
Polska,2008,,,,,0.0,0.0,,,,,0.0,
Polska,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Polska,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Polska,2011,35.0,,0.0,,35.0,0.0,0.01,0.0,,,35.0,0.01
Polska,2012,54.0,12.0,0.0,0.0,19.0,12.0,0.01,0.0,66.0,0.0,31.0,0.01
Polska,2013,81.0,22.0,0.0,0.0,26.0,5.0,0.01,0.0,103.0,0.0,31.0,0.01
Polska,2014,153.0,104.0,0.0,0.0,92.0,48.0,0.03,0.01,257.0,0.0,140.0,0.04
Polska,2015,219.0,270.0,0.0,0.0,112.0,148.0,0.03,0.04,489.0,0.0,260.0,0.07
Polska,2016,348.0,425.0,0.0,0.0,157.0,111.0,0.04,0.03,773.0,0.0,268.0,0.07
Polska,2017,896.0,816.0,0.0,0.0,508.0,385.0,0.1,0.08,1712.0,0.0,893.0,0.18
Polska,2018,3018.0,1592.0,0.01,0.01,694.0,586.0,0.13,0.11,4610.0,0.02,1280.0,0.24
Polska,2019,5196.0,2381.0,0.02,0.01,1464.0,1166.0,0.26,0.21,7577.0,0.03,2630.0,0.47
Polska,2020,9772.0,5919.0,0.04,0.02,3673.0,4362.0,0.86,1.02,15691.0,0.06,8035.0,1.88
Polska,2021,18132.0,15634.0,0.07,0.06,7167.0,9153.0,1.6,2.04,33766.0,0.13,16320.0,3.64
Polska,2022,30841.0,26415.0,0.12,0.1,11278.0,10730.0,2.69,2.56,57256.0,0.22,22008.0,5.25
Polska,2023,51364.0,47137.0,0.19,0.17,17083.0,13030.0,3.6,2.74,98501.0,0.36,30113.0,6.34
Polska,2024,72589.0,68866.0,0.32,0.3,16564.0,14902.0,3.0,2.7,141455.0,0.62,31466.0,5.7
Polska,2025,102710.0,100245.0,0.44,0.43,43311.0,34137.0,7.25,5.71,202955.0,0.87,77448.0,12.96
Portugalia,2008,28.0,,,,0.0,0.0,,,,,0.0,
Portugalia,2009,29.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Portugalia,2010,59.0,36.0,0.0,0.0,18.0,0.0,0.01,0.0,95.0,0.0,18.0,0.01
Portugalia,2011,242.0,39.0,0.01,0.0,201.0,2.0,0.13,0.0,281.0,0.01,203.0,0.13
Portugalia,2012,338.0,69.0,0.01,0.0,64.0,30.0,0.07,0.03,407.0,0.01,94.0,0.1
Portugalia,2013,437.0,99.0,0.01,0.0,167.0,7.0,0.16,0.01,536.0,0.01,174.0,0.17
Portugalia,2014,672.0,215.0,0.01,0.0,198.0,90.0,0.14,0.06,887.0,0.01,288.0,0.2
Portugalia,2015,1398.0,687.0,0.03,0.01,692.0,487.0,0.39,0.27,2085.0,0.04,1179.0,0.66
Portugalia,2016,2383.0,1781.0,0.05,0.04,820.0,1018.0,0.4,0.49,4164.0,0.09,1838.0,0.89
Portugalia,2017,7405.0,4337.0,0.15,0.09,1719.0,2420.0,0.77,1.08,11742.0,0.24,4139.0,1.85
Portugalia,2018,16774.0,9675.0,0.32,0.18,4484.0,3757.0,1.97,1.65,26449.0,0.5,8241.0,3.62
Portugalia,2019,29033.0,17368.0,0.53,0.32,6883.0,5821.0,3.08,2.6,46401.0,0.8500000000000001,12704.0,5.68
Portugalia,2020,33882.0,31007.0,0.61,0.56,7849.0,11858.0,5.4,8.15,64889.0,1.17,19707.0,13.55
Portugalia,2021,50138.0,48004.0,0.89,0.85,13258.0,15731.0,9.04,10.73,98142.0,1.74,28989.0,19.77
Portugalia,2022,68320.0,65729.0,1.16,1.12,17806.0,16042.0,11.39,10.26,134049.0,2.2800000000000002,33848.0,21.65
Portugalia,2023,106424.0,97356.0,1.79,1.64,36361.0,26374.0,18.21,13.21,203780.0,3.4299999999999997,62735.0,31.42
Portugalia,2024,166760.0,131340.0,2.73,2.15,42065.0,27630.0,20.06,13.18,298100.0,4.88,69695.0,33.239999999999995
Portugalia,2025,243954.0,167325.0,3.9,2.68,52345.0,34113.0,23.26,15.16,411279.0,6.58,86458.0,38.42
Rumunia,2008,,,,,0.0,0.0,,,,,0.0,
Rumunia,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Rumunia,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Rumunia,2011,5.0,,0.0,,5.0,0.0,0.01,0.0,,,5.0,0.01
Rumunia,2012,5.0,5.0,0.0,0.0,2.0,5.0,0.0,0.01,10.0,0.0,7.0,0.01
Rumunia,2013,42.0,6.0,0.0,0.0,31.0,1.0,0.05,0.0,48.0,0.0,32.0,0.05
Rumunia,2014,59.0,20.0,0.0,0.0,,,,,79.0,0.0,,
Rumunia,2015,97.0,59.0,0.0,0.0,54.0,70.0,0.07,0.09,156.0,0.0,124.0,0.16
Rumunia,2016,164.0,147.0,0.0,0.0,64.0,99.0,0.07,0.1,311.0,0.0,163.0,0.17
Rumunia,2017,399.0,278.0,0.01,0.0,235.0,139.0,0.22,0.13,677.0,0.01,374.0,0.35
Rumunia,2018,854.0,510.0,0.01,0.01,504.0,188.0,0.38,0.14,1364.0,0.02,692.0,0.52
Rumunia,2019,2718.0,798.0,0.04,0.01,1613.0,675.0,1.0,0.42,3516.0,0.05,2288.0,1.42
Rumunia,2020,5563.0,1847.0,0.08,0.03,2844.0,1049.0,2.25,0.83,7410.0,0.11,3893.0,3.08
Rumunia,2021,11883.0,4840.0,0.16,0.06,6342.0,3009.0,5.26,2.49,16723.0,0.22,9351.0,7.75
Rumunia,2022,23474.0,8321.0,0.3,0.1,11556.0,3309.0,8.94,2.56,31795.0,0.4,14865.0,11.5
Rumunia,2023,38553.0,10205.0,0.46,0.12,15221.0,2921.0,10.53,2.02,48758.0,0.5800000000000001,18142.0,12.549999999999999
Rumunia,2024,49594.0,16900.0,0.59,0.2,9802.0,6801.0,6.49,4.5,66494.0,0.79,16603.0,10.99
Rumunia,2025,58322.0,19622.0,0.67,0.22,8881.0,5478.0,5.66,3.49,77944.0,0.89,14359.0,9.15
Szwajcaria,2008,,,,,0.0,0.0,,,,,0.0,
Szwajcaria,2009,,,,,21.0,0.0,0.01,0.0,,,21.0,0.01
Szwajcaria,2010,664.0,1.0,0.02,0.0,123.0,0.0,0.04,0.0,665.0,0.02,123.0,0.04
Szwajcaria,2011,664.0,38.0,0.02,0.0,398.0,38.0,0.13,0.01,702.0,0.02,436.0,0.14
Szwajcaria,2012,1023.0,442.0,0.02,0.01,463.0,394.0,0.14,0.12,1465.0,0.03,857.0,0.26
Szwajcaria,2013,2186.0,654.0,0.05,0.01,994.0,166.0,0.32,0.05,2840.0,0.060000000000000005,1160.0,0.37
Szwajcaria,2014,4443.0,1489.0,0.1,0.03,1476.0,638.0,0.48,0.21,5932.0,0.13,2114.0,0.69
Szwajcaria,2015,7534.0,4248.0,0.17,0.09,3823.0,2217.0,1.16,0.67,11782.0,0.26,6040.0,1.83
Szwajcaria,2016,10727.0,6630.0,0.23,0.14,3445.0,2001.0,1.06,0.62,17357.0,0.37,5446.0,1.6800000000000002
Szwajcaria,2017,14543.0,9606.0,0.31,0.21,4913.0,3292.0,1.54,1.03,24149.0,0.52,8205.0,2.5700000000000003
Szwajcaria,2018,19185.0,14179.0,0.41,0.3,5389.0,4059.0,1.76,1.33,33364.0,0.71,9448.0,3.09
Szwajcaria,2019,28722.0,18435.0,0.61,0.39,13100.0,4250.0,4.11,1.33,47157.0,1.0,17350.0,5.44
Szwajcaria,2020,43405.0,32824.0,0.92,0.69,19311.0,14385.0,8.15,6.07,76229.0,1.6099999999999999,33696.0,14.22
Szwajcaria,2021,71715.0,54637.0,1.5,1.14,31676.0,21813.0,13.28,9.15,126352.0,2.6399999999999997,53489.0,22.43
Szwajcaria,2022,110788.0,72795.0,2.3,1.51,40001.0,18353.0,17.7,8.12,183583.0,3.8099999999999996,58354.0,25.82
Szwajcaria,2023,155556.0,81640.0,3.27,1.71,52540.0,23021.0,20.83,9.13,237196.0,4.98,75561.0,29.96
Szwajcaria,2024,200803.0,102845.0,4.19,2.14,44715.0,18916.0,18.65,7.89,303648.0,6.33,63631.0,26.54
Szwajcaria,2025,249832.0,126730.0,5.21,2.64,52947.0,26166.0,22.65,11.19,376562.0,7.85,79113.0,33.839999999999996
Szwecja,2008,129.0,,,,0.0,0.0,,,,,0.0,
Szwecja,2009,157.0,,0.0,,18.0,0.0,0.01,0.0,,,18.0,0.01
Szwecja,2010,190.0,,0.0,,56.0,2.0,0.02,0.0,,,58.0,0.02
Szwecja,2011,366.0,,0.01,,183.0,0.0,0.06,0.0,,,183.0,0.06
Szwecja,2012,603.0,651.0,0.01,0.01,267.0,657.0,0.1,0.23,1254.0,0.02,924.0,0.33
Szwecja,2013,1010.0,1637.0,0.02,0.04,453.0,1103.0,0.16,0.38,2647.0,0.06,1556.0,0.54
Szwecja,2014,2172.0,4922.0,0.05,0.11,1370.0,3300.0,0.42,1.02,7094.0,0.16,4670.0,1.44
Szwecja,2015,4765.0,9776.0,0.1,0.21,3103.0,5408.0,0.86,1.49,14541.0,0.31,8511.0,2.35
Szwecja,2016,7532.0,18832.0,0.16,0.4,3219.0,10027.0,0.83,2.58,26364.0,0.56,13246.0,3.41
Szwecja,2017,11034.0,32253.0,0.23,0.67,4403.0,15548.0,1.12,3.96,43287.0,0.9,19951.0,5.08
Szwecja,2018,16664.0,49394.0,0.34,1.01,7263.0,21375.0,1.99,5.85,66058.0,1.35,28638.0,7.84
Szwecja,2019,30343.0,66609.0,0.62,1.36,15594.0,24431.0,4.25,6.66,96952.0,1.98,40025.0,10.91
Szwecja,2020,55790.0,122290.0,1.13,2.47,27897.0,65831.0,9.55,22.54,178080.0,3.6,93728.0,32.09
Szwecja,2021,110177.0,189498.0,2.21,3.8,57454.0,77842.0,19.09,25.86,299675.0,6.01,135296.0,44.95
Szwecja,2022,197709.0,239531.0,3.97,4.81,94603.0,66485.0,32.84,23.08,437240.0,8.78,161088.0,55.92
Szwecja,2023,291678.0,272342.0,5.86,5.47,111338.0,61186.0,38.42,21.11,564020.0,11.33,172524.0,59.53
Szwecja,2024,358260.0,313546.0,7.2,6.3,94333.0,62751.0,34.99,23.28,671806.0,13.5,157084.0,58.27
Szwecja,2025,432709.0,373812.0,8.59,7.42,99862.0,73197.0,36.58,26.81,806521.0,16.009999999999998,173059.0,63.39
Słowacja,2008,,,,,0.0,0.0,,,,,0.0,
Słowacja,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Słowacja,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Słowacja,2011,25.0,17.0,0.0,0.0,25.0,17.0,0.04,0.02,42.0,0.0,42.0,0.06
Słowacja,2012,26.0,17.0,0.0,0.0,3.0,1.0,0.0,0.0,43.0,0.0,4.0,0.0
Słowacja,2013,50.0,,0.0,,,,,,,,,
Słowacja,2014,113.0,88.0,0.01,0.0,24.0,,0.03,,201.0,0.01,,
Słowacja,2015,137.0,156.0,0.01,0.01,15.0,15.0,0.02,0.02,293.0,0.02,30.0,0.04
Słowacja,2016,198.0,156.0,0.01,0.01,55.0,,0.06,,354.0,0.02,,
Słowacja,2017,398.0,345.0,0.02,0.02,214.0,175.0,0.22,0.18,743.0,0.04,389.0,0.4
Słowacja,2018,795.0,620.0,0.03,0.03,301.0,281.0,0.31,0.28,1415.0,0.06,582.0,0.5900000000000001
Słowacja,2019,956.0,826.0,0.04,0.03,166.0,209.0,0.16,0.21,1782.0,0.07,375.0,0.37
Słowacja,2020,1863.0,1643.0,0.08,0.07,907.0,811.0,1.19,1.06,3506.0,0.15000000000000002,1718.0,2.25
Słowacja,2021,2999.0,2655.0,0.12,0.11,1136.0,1012.0,1.5,1.34,5654.0,0.22999999999999998,2148.0,2.84
Słowacja,2022,4528.0,4215.0,0.18,0.17,1508.0,1626.0,1.91,2.06,8743.0,0.35,3134.0,3.9699999999999998
Słowacja,2023,7896.0,7145.0,0.3,0.27,2516.0,2862.0,2.86,3.25,15041.0,0.5700000000000001,5378.0,6.109999999999999
Słowacja,2024,14612.0,10904.0,0.54,0.4,2227.0,2174.0,2.34,2.29,25516.0,0.9400000000000001,4401.0,4.63
Słowacja,2025,18895.0,14135.0,0.68,0.51,4377.0,4085.0,4.7,4.39,33030.0,1.19,8462.0,9.09
Słowenia,2008,,,,,0.0,0.0,,,,,0.0,
Słowenia,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Słowenia,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Słowenia,2011,,,,,12.0,0.0,0.02,0.0,,,12.0,0.02
Słowenia,2012,12.0,,0.0,,17.0,10.0,0.03,0.02,,,27.0,0.05
Słowenia,2013,29.0,10.0,0.0,0.0,,,,,39.0,0.0,,
Słowenia,2014,133.0,20.0,0.01,0.0,22.0,2.0,0.04,0.0,153.0,0.01,24.0,0.04
Słowenia,2015,288.0,55.0,0.03,0.01,93.0,6.0,0.15,0.01,343.0,0.04,99.0,0.16
